news_id,news_url_absolute,news_init_date,news_final_date,news_title,news_text_content
3164aa63-990b-4baf-91f2-a742afa2a1f9,https://informesdiscriminacion.gitanos.org/casos/granada-otros-delito-de-odio,2023-03-23,2023-03-23,Granada. Otros. Delito de odio.,"Varias familias gitanas rumanas, con 20 menores, se alojaron en la Azucarera, una antigua fábrica, tras ser desalojadas y sin tener otra alternativa habitacional. Las familias comunicaron a las entidades sociales, entre ellas la FSG, que les atacaron con piedras y bombas caseras, hechas con botellas y gasolina. Las familias tenían miedo de que les pasara algo."
b5f16de0-b3d8-40c8-b9fd-7861f1cab393,https://informesdiscriminacion.gitanos.org/casos/granada-otros-discriminaci%C3%B3n-directa-4,2023-03-23,2023-03-23,Granada. Otros. Discriminación directa.,"Unas familias gitanas se vieron afectadas por el desalojo del lugar donde vivían, sin alternativa habitacional. El desalojo era el resultado de una Moción Municipal presentado por el grupo municipal Vox al pleno del Ayuntamiento. La moción, en materia de convivencia, utilizaba el concepto de “colectivo asentado” para referirse al colectivo gitano rumano que vive en la Chana. En la moción solicitaron la retirada de ayudas en el caso de que no cumplieran con las normas de convivencia, la retirada de custodia de hijos en caso de absentismo y también les responsabilizaron de la falta de tejido empresarial en la zona por su presencia. Era una moción que estigmatizaba y señalaba a las familias gitanas rumanas."
23f110bb-fad7-486d-9dbc-e43b8c825bf5,https://informesdiscriminacion.gitanos.org/casos/cuenca-vivienda-discriminaci%C3%B3n-directa-8,2023-03-23,2023-03-23,Cuenca. Vivienda. Discriminación directa.,"Una mujer gitana nos comentó un caso de discriminación que sufrieron su hermana y ella en una inmobiliaria, en la cual les preguntaron sus nombres y apellidos y, en cuanto las identificaron como gitanas, empezaron a poner todo tipo de excusas y finalmente, le dijeron que sólo querían alquilar a funcionarios."
1f43bc3e-09a5-4c2c-aff2-1470af084579,https://informesdiscriminacion.gitanos.org/casos/salamanca-viviendadiscriminaci%C3%B3n-directa-0,2023-03-23,2023-03-23,. Salamanca. Vivienda.Discriminación directa.,"Un hombre gitano intentó alquilar en dos ocasiones un piso, pero los propietarios decían que sólo les interesaba vender. El hombre se enteró de que, posteriormente a su visita, lo alquilaron a otras personas que no eran gitanas."
b8f3f9cc-500a-4d57-8e6c-03b5c808f9e9,https://informesdiscriminacion.gitanos.org/casos/salamanca-viviendadiscriminaci%C3%B3n-directa,2023-03-23,2023-03-23,Salamanca. Vivienda.Discriminación directa.,
32215529-ed51-48ae-a0f2-6888b295cd0c,https://informesdiscriminacion.gitanos.org/casos/le%C3%B3n-vivienda-discriminaci%C3%B3n-directa-2,2023-03-23,2023-03-23,León. Vivienda. Discriminación directa.,"Un hombre gitano estaba a punto de firmar un contrato de alquiler con una inmobiliaria, cuando el propietario se enteró de que era gitano. En ese momento, le pidió un vídeo de su actual casa, para ver cómo la tenían de cuidada. El hombre grabó el vídeo y se lo mandó. Sin embargo, desde la inmobiliaria le dijeron que a pesar de que el propietario había dicho que se había sorprendido de lo limpia y en buenas condiciones se encontraba la casa, no quería gitanos dentro de su casa."
37fd1e5c-db82-40c5-a500-2e03cc715c54,https://informesdiscriminacion.gitanos.org/casos/huesca-vivienda-discriminaci%C3%B3n-indirecta,2023-03-23,2023-03-23,Huesca. Vivienda. Discriminación indirecta,"Una familia gitana de siete miembros, con hijos menores de edad, sufrió un incendio en su infravivienda. El Ayuntamiento tardó un par de meses en darles una solución y conseguir vivienda en el mercado libre les resultó imposible. La familia tuvo que vivir en una caravana, alrededor de dos meses y pensaron que la solución a su situación se demoró por ser una familia gitana."
10a1bb65-72a6-4e5a-bf65-f9c4a9eaef9e,https://informesdiscriminacion.gitanos.org/casos/c%C3%B3rdoba-vivienda-discriminaci%C3%B3n-directa-1,2023-03-23,2023-03-23,Córdoba. Vivienda. Discriminación directa.,"Una mujer gitana nos contó que llevaba diez años soportando los comentarios antigitanos de una vecina, algunos de ellos eran los siguientes: “Qué asco de gitanos”, “Se quieren hacer los dueños”. Además, la misma vecina llamó en varias ocasiones a la policía diciendo que había ruido en esa vivienda. También le molestaba cuando tendía la ropa y un día la vecina fue a su casa llamó al timbre y la agredió con un palo, la mujer se defendió. Cuando llegó la policía se llevó a la mujer gitana a comisaría, pero no le dejaron denunciar."
c008f91f-d93f-40bc-a4a4-56d002afaca4,https://informesdiscriminacion.gitanos.org/casos/coru%C3%B1a-vivienda-discriminaci%C3%B3n-directa-6,2023-03-23,2023-03-23,A Coruña. Vivienda. Discriminación directa.,"Un hombre gitano contó en la FSG que fue a una inmobiliaria de Santiago de Compostela y no quisieron enseñarle ninguna vivienda para alquilar. Aunque no le dijeron que era por ser gitano, él tenía sospechas de que era por eso, porque hace años le paso igual a su mujer, también gitana, con la misma inmobiliaria."
1b1cbda2-3187-45a4-8c34-e73d25672007,https://informesdiscriminacion.gitanos.org/casos/c%C3%B3rdoba-vivienda-discriminaci%C3%B3n-por-asociaci%C3%B3n,2023-03-23,2023-03-23,Córdoba. Vivienda. Discriminación por asociación.,"Una trabajadora de la FSG llevaba un tiempo buscando casa para comprar, solicitó asesoramiento financiero y se dirigió a la inmobiliaria con toda la documentación solicitada. Allí, la asesora le preguntó si tenía algún ahorro adicional, ella contestó que no, pero le siguió insistiendo y le preguntó: “¿Estás segura, no me estarás engañando?, porque voy a mirar tus cuentas y lo voy a saber”. La trabajadora tenía claro que estás preguntas y desconfianza tuvo que ver con que su nómina venía la FSG y la asoció con la comunidad gitana."
