hechos,intervencion,resultado,fecha_hechos,fecha_denuncia,provincia,ambito,tipo_desciminacion,reference,link
"Apareció una noticia discriminatoria en la versión impresa de El Ideal Gallego el 27 de enero de 2017. Esta noticia recuperaba otro suceso que había sido publicado por el mismo diario hace 25 años. En la noticia se dice lo siguiente: “el conflicto que los vecinos mantienen con unos inquilinos de raza gitana que presuntamente venden droga estalló sobre las nueve de la noche, cuando estos acusaron a la comunidad de haberles cortado la luz.”","Desde la FSG, se envió carta de queja al medio.",Negativo No se obtuvo respuesta.,2017-01-01T00:00:00+01:00,2017-01-01T00:00:00+01:00,A Coruña,Medios de comunicación,Discriminación directa,,https://informesdiscriminacion.gitanos.org/casos/santiago-de-compostela-medios-de-comunicaci%C3%B3n-discriminaci%C3%B3n-directa-7
"Tuvimos conocimiento de la existencia de una cuenta de twitter llamada @AntigitanosAE, de perfil público, a la cual le acompaña de foto de portada que dice: “Prohibido estacionar gitanos”. El usuario o usuaria de esta cuenta escribía comentarios como éstos: “¡Putos rumanos-gitanos en bicicleta buscando basura!”. “RT Si tú también has reventado a un gitano que te ha intentado robar”. Por otro lado detectamos una cuenta, esta vez en la red social Instagram, cuyo nombre de perfil era “Antihitanos” y en su descripción ponía textualmente: “Estáis destrozando España gitanos”. Éste perfil a pesar de no haber publicado ningún contenido aún, cuenta con 27 seguidores.",El 27/01/17 denunciamos la cuenta de Instagram y la de Twitter.,Positivo. La estrategia de actuación ha sido efectiva. Las redes en sociales mencionadas anteriormente han sido eliminadas.,2017-01-01T00:00:00+01:00,2017-01-01T00:00:00+01:00,Almería,Redes sociales,Discriminación directa,,https://informesdiscriminacion.gitanos.org/casos/almer%C3%ADa-redes-sociales-medios-de-comunicaci%C3%B3n-discriminaci%C3%B3n-directa
"La siguiente noticia fue publicada en el Diario de Pontevedra. Titular: “Se juzga a una banda de ladrones en Pontevedra”. Uno de los párrafos de la noticia menciona lo siguiente: “La banda de ladrones, la mayor parte de ellos de etnia gitana, que protagonizó una oleada de robos en viviendas en busca de oro, joyas y otros objetos de valor en Pontevedra y sus alrededores en el año 2013 reconoció los hechos. Todos sus integrantes, algunos de ellos toxicómanos…”",Se envió una carta de queja vía correo electrónico a la sección donde apareció la noticia discriminatoria. Se les explicó el daño que hace la mención de la etnia en noticias de sucesos y se les facilitó la guía de buenas prácticas periodísticas de la FSG.,Positivo. Nos respondieron a la carta enviada por correo electrónico diciendo que tendrán en cuenta nuestras sugerencias para siguientes ocasiones y agradeciendo nuestro interés.,2017-01-01T00:00:00+01:00,2017-01-01T00:00:00+01:00,A Coruña,Medios de comunicación,Discriminación directa,,https://informesdiscriminacion.gitanos.org/casos/santiago-de-compostela-medios-de-comunicaci%C3%B3n-discriminaci%C3%B3n-directa-6
"Una zona de Córdoba conocida como la carrera del caballo, barrio residencial de las afueras de la ciudad, está literalmente inundada de carteles con leyendas en contra de la población gitana rumana con amenazas como la que sigue: “muerte y persecución a los rumanos”. “Os vamos a matar iros de aquí”.",,,2007-01-01T00:00:00+01:00,2007-01-01T00:00:00+01:00,Córdoba,Otros,Sin especificar,,https://informesdiscriminacion.gitanos.org/casos/c%C3%B3rdoba-diciembre-discriminaci%C3%B3n-otros
"Durante la emisión del capítulo de una serie de televisión en horario de máxima audiencia en una cadena privada estatal, se observa una situación totalmente cargada de prejuicios y estereotipos. En concreto, se representa el robo de un frigorífi co en el que se ven involucrados dos hombres de etnia gitana. Nuevamente en unos segundos se han reforzado todas las ideas prejuiciosas por las que se vincula a la totalidad de la comunidad gitana con la comisión de delitos.",,,2007-01-01T00:00:00+01:00,2007-01-01T00:00:00+01:00,Estatal,Medios de comunicación,Sin especificar,,https://informesdiscriminacion.gitanos.org/casos/nacional-diciembre-discriminaci%C3%B3n-en-medios-de-comunicaci%C3%B3n
"Siete establecimientos de pequeña y mediana empresa realizan una campaña difamatoria contra los gitanos de etnia rumana informando al pueblo cordobés de que utilizan a los niños para pedir y que todos están inmersos en una red de mafi as y no en una situación de supervivencia. Presuponen que en los valores esenciales de estos ciudadanos europeos no se respeta a la infancia y se la utiliza para mendigar, trasladando a la sociedad un rechazo global a la comunidad gitana, lo que supone una apología al racismo y la xenofobia.",,,2007-01-01T00:00:00+01:00,2007-01-01T00:00:00+01:00,Córdoba,Acceso a bienes y servicios,Sin especificar,,https://informesdiscriminacion.gitanos.org/casos/c%C3%B3rdoba-noviembre-discriminaci%C3%B3n-en-servicios
"Durante la emisión de un capítulo de una serie de televisión de emisión nacional en horario de máxima audiencia (concretamente 2.774.000 y un share del 15.4%), se representa una escena que hace alusión a “los gitanos” de forma despectiva, concretamente refuerza el estereotipo de gitanos-delincuentes. En apenas unos segundos han quedado fortalecidas las creencias sobre lo peligroso que resulta tratar con gitanos, identifi cando directamente a la comunidad con el trapicheo y robo de objetos.",,,2007-01-01T00:00:00+01:00,2007-01-01T00:00:00+01:00,Estatal,Medios de comunicación,Sin especificar,,https://informesdiscriminacion.gitanos.org/casos/nacional-octubre-discriminaci%C3%B3n-en-los-medios-de-comunicaci%C3%B3n
"Joven gitano trabajando consigue un contrato de trabajo en una empresa de pinturas a través de un curso de formación organizado por la FSG. Dos meses después, entra a trabajar en la misma empresa una persona con la que la relación de trabajo empezó a ser complicada. Finalmente, este compañero le reconoció al joven gitano que había tenido malas experiencias con gitanos y que no se fi aba de ninguno. La tensión llegó al punto de tener que tomar una decisión: enfrentarse al compañero o comunicar la situación al empleador. Optó por la segunda y, tras una conversación con ambos trabajadores, el empleador ratifi có su confi anza en el joven gitano. A pesar de la discriminación sufrida por parte de uno de sus compañeros de trabajo, el caso tuvo un fi nal positivo ya que la empresa le valoró por su capacidad y aptitud sin dejarse llevar por prejuicios o estereotipos.",,,2007-01-01T00:00:00+01:00,2007-01-01T00:00:00+01:00,Valladolid,Empleo,Sin especificar,,https://informesdiscriminacion.gitanos.org/casos/valladolid-octubre-discriminaci%C3%B3n-en-el-empleo
"Durante la emisión de un programa deportivo en una cadena de radio en Valladolid, el presentador del programa hizo el siguiente comentario: “es como comparar a Dios con un gitano”. Un oyente sensibilizado con el tema, llamó al programa para quejarse de la expresión, alertando del carácter discriminatorio de la expresión, y, a continuación, lo puso en conocimiento de la FSG. Desde la FSG se contacta con el presentador, se le recuerdan los hechos y se le informa de la repercusión que tiene el hecho de que un medio difunda este tipo de expresiones. El presentador se muestra arrepentido y ofrece apoyo en difusión de la campaña de la FSG como medida con posible efecto de reparación. A pesar de haberse hecho entrega de materiales de la campaña y de haberles invitado a la presentación del seminario “La imagen de la comunidad gitana en los medios de comunicación”, no se ha recibido respuesta alguna a ninguna de estas gestiones en la fecha de redacción de este informe.",,,2007-01-01T00:00:00+01:00,2007-01-01T00:00:00+01:00,Valladolid,Medios de comunicación,Sin especificar,,https://informesdiscriminacion.gitanos.org/casos/valladolid-octubre-discriminaci%C3%B3n-en-los-medios-de-comunicaci%C3%B3n-0
"Familia gitana rumana con permiso de residencia y trabajo desde hace más de dos años. Viven en un piso alquilado, pagan puntualmente el alquiler y no existe queja alguna de su comportamiento en el domicilio. A pesar de ello, la dueña de piso, con copia de la calle, entra y sale cuando sabe que no están los inquilinos para “comprobar que todos sus enseres están bien”. Cuando la familia le comenta que esto no se puede hacer, la dueña les responde que “eso es lo que hay, de lo contrario se busquen otro alquiler a ver si tienen tanta suerte de encontrar a alguien que les quiera alquilar siendo rumanos”. No se realiza intervención alguna a petición de la propia familia que teme perder la vivienda al fi nalizar el contrato si se realiza cualquier acción.",,,2007-01-01T00:00:00+01:00,2007-01-01T00:00:00+01:00,Asturias,Vivienda,Sin especificar,,https://informesdiscriminacion.gitanos.org/casos/asturias-septiembre-discriminaci%C3%B3n-en-la-vivienda-0
