hechos,intervencion,resultado,fecha_hechos,fecha_denuncia,provincia,ambito,tipo_desciminacion,reference
"En una factura correspondiente a la compra y envío de bienes adquiridos por una trabajadora gitana de la FSG, aparece un suplemento de 15 euros por la supuesta peligrosidad de la zona en que reside. La dependienta de la tienda se niega a eliminar el suplemento argumentando que son los propios montadores de muebles los que renuncian a ir a este barrio, en el que existe alto porcentaje de familias gitanas, sin cobrar un plus. La trabajadora decide presentar queja en la OMIC por trato discriminatorio, queja que sigue pendiente de resolución.",,,2006-01-01T00:00:00+01:00,2006-01-01T00:00:00+01:00,Granada,Acceso a bienes y servicios,Sin especificar,
"Un conocido periódico de ámbito estatal, publica una noticia en la que se hace eco del descontento de la Asociación de Padres y Madres, la Dirección y el Claustro de profesores de un centro educativo público de primaria. Se quejan del alto número de alumnado de origen extranjero y gitano que hace que “uno de cada tres alumnos necesite apoyo escolar”. Reivindican pues que el alumnado del centro se reparta por otros centros de la zona para poder recibir una mejor atención. Sin embargo, la FSG ha constatado que la deseada distribución del alumnado ya existe.",,,2006-01-01T00:00:00+01:00,2006-01-01T00:00:00+01:00,Madrid,Educación,Sin especificar,
"En un periódico de ámbito local aparecen publicadas dos noticias en relación al presunto autor de un tiroteo, en las que se hace mención expresa, en repetidas ocasiones, a su origen étnico.",,,2006-01-01T00:00:00+01:00,2006-01-01T00:00:00+01:00,Valladolid,Medios de comunicación,Sin especificar,
"Una empresa de limpieza solicita al programa de empleo Acceder de la FSG un candidato para cubrir una vacante. La FSG selecciona a un usuario que se adapta a las características del puesto, pero, cuando la empresa conoce que es gitano, llama a la coordinadora de la entidad diciendo “no me lo mandes, no quiero saber nada de esta raza, te inventas una excusa y le dices que no venga a la entrevista”. A pesar de los intentos de mediación de la FSG, el empresario se niega a contratarlo, alegando malas experiencias previas.",,,2006-01-01T00:00:00+01:00,2006-01-01T00:00:00+01:00,Ciudad Real,Empleo,Sin especificar,
"La FSG se pone en contacto con una agencia inmobiliaria tras conocer, a través de su página web, que hay disponibles dos viviendas para alquilar y que las características de las mismas coinciden con las que buscan dos familias gitanas usuarias de sus programas. La agencia, a pesar de mostrar inicialmente su interés por alquilar, cuando conoce que las familias son gitanas, se niega a mostrar la vivienda, alegando, primero, que no tiene llaves porque el dueño está de vacaciones y, posteriormente, la no disponibilidad de las mismas. Además manifiestan la necesidad de aplicar desde la agencia un “filtro” para alquiler de viviendas. Unos días más tarde un trabajador no gitano de la FSG acude a la agencia simulando estar interesado por una de las viviendas y se la muestran sin ningún problema.",,,2006-01-01T00:00:00+01:00,2006-01-01T00:00:00+01:00,Asturias,Vivienda,Sin especificar,
"La Junta Directiva de una asociación de vecinos toma la decisión de paralizar el curso de aeróbic que se está desarrollando en su local con un grupo de mujeres gitanas usuarias de la FSG y que transcurre de forma absolutamente normal, a pesar de que la celebración del mismo ya se había acordado previamente. La FSG, tras escribir una carta manifestando su malestar por dicha decisión, mantiene una reunión con el presidente de la Junta Directiva quien, a pesar de no reconocer su actitud discriminatoria, se retracta de su decisión inicial y ofrece de nuevo las instalaciones donde se realizaba el curso.",,,2006-01-01T00:00:00+01:00,2006-01-01T00:00:00+01:00,Madrid,Acceso a bienes y servicios,Sin especificar,
"Un concejal del Ayuntamiento de esta localidad realiza unas declaraciones durante una rueda de prensa en las que acusa directamente a la comunidad gitana y a otros colectivos de inmigrantes del incremento de la delincuencia en la zona, reclamando expresamente su expulsión. La FSG, además de escribir una carta al concejal y otra a la presidenta del partido político al que pertenece, para exigir responsabilidades por el contenido racista de dichas declaraciones, denuncia los hechos a la Fiscalía y el Sindic de Greuges. Finalmente, el partido político se desmarca de las declaraciones, y la Fiscalía archiva el caso por no considerar los hechos constitutivos de delito.",,,2006-01-01T00:00:00+01:00,2006-01-01T00:00:00+01:00,Alicante,Otros,Sin especificar,
"En la sección local de un periódico de ámbito autonómico aparece publicada una noticia sobre la celebración de un juicio por un crimen, haciendo continua mención al origen étnico de los implicados en el mismo.",,,2006-01-01T00:00:00+01:00,2006-01-01T00:00:00+01:00,Ciudad Real,Medios de comunicación,Sin especificar,
"En la sección local de un periódico estatal aparece publicada una noticia con el titular “Un hombre, tiroteado durante una reyerta de clanes gitanos” en la que se hace mención expresa del origen étnico de los implicados en el suceso. A su vez, en la descripción de los hechos se especifica que el lugar donde tuvieron origen los hechos “ha sido escenario de otros enfrentamientos similares con las drogas de trasfondo”.",,,2006-01-01T00:00:00+01:00,2006-01-01T00:00:00+01:00,Alicante,Medios de comunicación,Sin especificar,
"“Como no haya justicia, nos la tomaremos por nuestra cuenta. Es hombre muerto. Los familiares clamaron ayer venganza en el tanatorio”. Un periódico de ámbito estatal comienza así la descripción de una noticia relacionada con la muerte de una adolescente gitana, tras ser atropellada por una persona que conducía bajo los efectos del alcohol. El contenido de la noticia, además de hacer constante referencia a la etnia gitana, está cargado de prejuicios y estereotipos, por lo que la FSG escribe una carta al Defensor del Lector de este medio mostrando su malestar por el tratamiento informativo.",,,2006-01-01T00:00:00+01:00,2006-01-01T00:00:00+01:00,Madrid,Medios de comunicación,Sin especificar,
