hechos,intervencion,resultado,fecha_hechos,fecha_denuncia,provincia,ambito,tipo_desciminacion,reference,link
"Una mujer gitana acudió a una inmobiliaria para buscar un piso de alquiler, le atendió uno de sus comerciales y confirmaron el alquiler de un piso. El comercial le aseguró a la mujer que en dos días, aproximadamente, le haría la entrega de las llaves y la mujer pagó la fianza en ese mismo momento y le facilitó la documentación requerida. En dos días la mujer acudió de nuevo a la inmobiliaria a por las llaves, pero le dijeron que el piso que iba a alquilar tenía ya una inquilina y que había sido un error. El comercial se mostró un poco apurado, daba la sensación de que no había sido una decisión suya. La mujer, con sus dos hijos menores, se encontró en una situación difícil porque había dejado su vivienda, al haber confirmado ésta. Siguió buscando en otras inmobiliarias y encontró un piso que le interesó por internet y, según el anuncio, estaba disponible. Cuando llegó a la inmobiliaria le dijeron que el piso estaba disponible, pero que en ese momento no podían visitarlo. Ella entregó una fianza y cuando regresó a la inmobiliaria, la comercial le hizo una serie de comentarios, que le parecieron fuera de lugar, como el tema de la limpieza del hogar, las diferentes molestias en la comunidad, además de que se dirigía a ella como si no se fiara. Al final de la conversación, la comercial le dijo de ir a ver la vivienda, pero le llevo a ver otra vivienda, asegurando que era mejor que se quedara en esa vivienda, que estaba en peores condiciones. La mujer agobiada por la situación, decidió quedarse en esa vivienda, pero en unos días comenzaron los problemas por las condiciones de la vivienda. Finalmente, decidió ir de nuevo a la inmobiliaria anterior, ya que una familiar suya conocía a una de las trabajadoras de la inmobiliaria. Acudió con su familiar a la entrevista y la comercial reconoció que si no fuese con una conocida no la hubiera atendido, ya que normalmente no alquilan casas a gitanos porque hay vecinos que no los quieren viviendo a su lado. La mujer se sintió ofendida y dolida y decidió abandonar la inmobiliaria.","La mujer contó a la Técnica de Igualdad las dificultades que estaba encontrando para alquilar una vivienda para ella y sus hijos. La Técnica contactó con la inmobiliaria y preguntó al comercial los requisitos para alquilar una vivienda. Asimismo, la Técnica comprobó las dificultades que la mujer tenía para alquilar una vivienda digna y los obstáculos que se encontraba. Igualmente, la Técnica le informó a la mujer de que podía interponer una queja a la Oficina de Consumo y la mujer accedió. La Técnica le acompañó a la Oficina de Consumo, pero allí le disuadieron de interponer la queja porque había pasado ya mucho tiempo.  ","Negativo, por la dificultad que tiene la mujer con sus dos hijos menores para encontrar una vivienda adecuada y por la dificultad de cambiar los prejuicios que tienen algunas inmobiliarias y propietarios sobre las personas gitanas.",2017-01-01T00:00:00+01:00,2017-01-01T00:00:00+01:00,Huelva,Vivienda,Discriminación directa,,https://informesdiscriminacion.gitanos.org/casos/huelva-vivienda-discriminaci%C3%B3n-directa-0
"Una joven gitana nos contó que llamó por teléfono a una inmobiliaria y le dijo a la chica que le atendió que estaba interesada en una vivienda de alquiler. La agente inmobiliaria le preguntó si tenía nómina y de cuánto era la nómina. Por teléfono todo le pareció correcto. Como la vivienda en esos momentos estaba ocupada, la agente de la inmobiliaria le dijo que cuando se desocupara, le llamaría inmediatamente para que viera la vivienda. El inconveniente surgió cuando la joven se comunicó con la de la inmobiliaria mediante WhatsApp. A los dos días la joven llamó por teléfono, pero no se lo cogió. La joven, sorprendida, le pidió a una amiga que se comunicara con la agencia inmobiliaria y la amiga llamó y a ella sí le cogieron el teléfono. La amiga se interesó por el mismo piso y la agente le dijo que lo acababan de desalojar y que podía verlo cuando quisiera.",La joven contó a la Técnica de Igualdad lo sucedido y aseguró estar convencida que cuando la de la inmobiliaria vio su foto de WhatsApp y su nombre completo supo que era gitana y no se lo quiso alquilar. La Técnica le informó de sus derechos y de las actuaciones que se podían llevar en estos casos.,"La joven prefirió hablar directamente con la agente de la inmobiliaria, con el objetivo de sensibilizar y trasladar que se había sentido dolida por la denegación de vivienda por el hecho de ser gitana. No realizó ninguna otra actuación.",2017-01-01T00:00:00+01:00,2017-01-01T00:00:00+01:00,Almería,Vivienda,Discriminación directa,,https://informesdiscriminacion.gitanos.org/casos/almer%C3%ADa-vivienda-discriminaci%C3%B3n-directa-0
"El 13 de mayo de 2017 se produjo un incendio en La Cañada Real, al lado de la A3, en el Sector 5. Las familias afectadas, de etnia gitana, llamaron al 112 y pidieron ayuda. Acudieron los bomberos en hora y media. La policía que llegó más tarde; sin saber cómo se había producido el incendio, un agente hizo comentarios racistas, acusando a las familias de haberlo provocado, con comentarios como:”a ver qué han liado los gitanos”, “no pasa nada si se queman las chabolas porque son de madera”.  ","La Técnica FSG que trabaja con las familias en Cañada se reunió con ellas y se comprobaron los hechos ocurridos. Las familias presentaron reclamaciones ante el Ayuntamiento, en las cuáles expusieron los hechos sucedidos, el retraso en llegar de los bomberos y la actitud discriminatoria, con comentarios racistas hacia las familias gitanas por parte de la policía que acudió al lugar. Desde la FSG se propuso y se impartió un taller de información en derechos a las familias y para que conozcan el Servicio de Asistencia y Orientación a Víctimas de Discriminación.","Se recibió carta de la Dirección General de Emergencias y Protección Civil disculpándose por las molestias ocasionadas a las familias. Trasladaron la respuesta de los bomberos, que reconocieron dificultades para acceder a la zona, primero por las indicaciones que fueron erróneas y segundo por el difícil acceso a la zona, lo que produjo un retraso mayor del esperado. En la respuesta no se hizo alusión a la actitud discriminatoria de la policía hacía las familias gitanas afectadas por el incendio. Tanto la respuesta a las reclamaciones como el taller recibido fueron consideradas positivas por las familias.",2017-01-01T00:00:00+01:00,2017-01-01T00:00:00+01:00,Madrid,Servicios policiales,Discriminación directa,,https://informesdiscriminacion.gitanos.org/casos/madrid-servicios-policiales-discriminaci%C3%B3n-directa
"Un joven gitano participante de los Programas de la FSG comentó a la Técnica de Igualdad de Pamplona que la policía le solía parar varias veces al día para pedirle la documentación y registrarle, en las inmediaciones de su vivienda y en otros espacios de su barrio. No sabía de qué cuerpo de policía se trataba, porque iban de paisano. Comentaba que le han llegado a parar hasta 4 veces en el mismo día y que suelen ser los mismos policías. Uno de los policías incluso le llegó a decir en uno de los registros: “hasta que no te cace, no voy a parar”. 
Un día en concreto, el 10 de mayo, le pararon dos veces el mismo día: por la mañana le pararon cuando estaba andando con su mujer por la calle. Le pararon, le pidieron la documentación y le preguntaron qué tipo de relación mantenían entre ellos. Ese mismo día, al mediodía, le pararon y le registraron en la puerta del colegio de su hijo, delante de su hijo menor y de otras familias y menores del colegio, a pesar de que él solicitó a los agentes que lo hicieran en la furgoneta, que no le registraran delante de sus hijos y otros/as menores. Sin embargo, no hicieron caso de su petición.
",La Técnica de Igualdad mantuvo una entrevista con el joven y con su pareja y dijeron que sentían cierto acoso por parte de la policía. El joven añadió que en varias ocasiones se ha sentido discriminado por ser gitano. Según su testimonio podría tratarse de controles de identificación por perfil étnico.,"Al tratarse de un caso de Perfil étnico, se informó al joven y se le asesoró en materia de controles de identificación, cuáles eran sus derechos y cómo ejercerlos. Le solicitamos que la próxima ocasión solicitará la identificación de los agentes, para saber al menos a qué cuerpo pertenecen los agentes que le identifican y registran y para poder llevar a cabo alguna interlocución.",2017-01-01T00:00:00+01:00,2017-01-01T00:00:00+01:00,Navarra,Servicios policiales,Discriminación directa,,https://informesdiscriminacion.gitanos.org/casos/pamplona-servicios-policiales-discriminaci%C3%B3n-directa
"Una mujer gitana, participante del Programa de Empleo Acceder de la FSG de Sabadell, estaba circulando con su vehículo cuando un agente de la policía municipal le ordenó parar su vehículo y se dirigió a ella para comunicarle una supuesta infracción. Al dirigirse a ella el agente le dijo “gitana tenías que ser” y añadió “ el coche será robado, a ver si la asistenta social va a ser capaz de quitarte la multa que te voy a poner”. La mujer respondió a los insultos racistas del agente diciendo que le estaba faltando al respeto haciendo alusión a su etnia de esa manera.  ","Se hizo una entrevista a la mujer para informarle del Servicio de Servicio de Asistencia y Orientación a Victimas de Discriminación Racial o Etnica e informarle de sus derechos, además de ver conjuntamente alguna línea de actuación. La mujer quiso recurrir la multa e interponer una queja ante el trato discriminatorio recibido por ser mujer y gitana. Desde la FSG se solicitó reunión con el intendente Jefe de la Policía Municipal. Se celebró la reunión con el Intendente Jefe, la mujer, la coordinadora de la FSG y un representante de la Asociación gitana de Sabadell. Desde la FSG se expusieron los hechos relatados por la mujer y se manifestó preocupación por tales hechos. En la reunión no se reconocieron los hechos tal y como los describía la mujer, aunque el tono y el discurso del Jefe de la policía fueron de conciliación, atendiendo a lo que explicaba la mujer y reconociendo su malestar.  ","Después de la reunión le preguntamos a la mujer si quería llevar a cabo alguna actuación, pero la mujer decidió no interponer ninguna queja al policía, aunque se sintió frustrada y con sensación de impunidad. La mujer valoro como muy positivos la información, el asesoramiento y el acompañamiento que se le hizo desde la FSG. Desde la FSG se mantuvo una reunión con la Policía Local de Sabadell con el objetivo de ver vías de colaboración conjuntas, posible sensibilización a cuerpos policiales y una comunicación más directa en futuros casos. La respuesta de la policía fue positiva.",2017-01-01T00:00:00+01:00,2017-01-01T00:00:00+01:00,Barcelona,Servicios policiales,Discriminación directa,,https://informesdiscriminacion.gitanos.org/casos/sabadell-servicios-policiales-discriminaci%C3%B3n-directa
"Una participante del Programa Aprender Trabajando de la FSG de Badajoz llevó un informe médico de su padre, para justificar una falta de asistencia. En el informe médico, que era de un hospital en Portugal, se mencionaba la etnia gitana.","La Técnica de Igualdad envió un correo electrónico al Hospital solicitando las direcciones del Director del Hospital para enviar una carta y mostrar las preocupaciones por la mención a la etnia de un paciente. Desde el hospital se enviaron los correos electrónicos de las personas responsables y se envió carta a los responsables del hospital. Al no recibir respuesta, la Técnica reenvió las cartas. Al no recibir respuesta tampoco en esta ocasión, la Técnica decidió llamar por teléfono al hospital para confirmar que habían recibido las cartas. La respuesta fue que no sabían nada y que volviera a enviarlas. Días después volvió a llamar al hospital por la misma razón, pero siguió sin haber respuesta.","A pesar de las llamadas realizadas al hospital y del envió de las cartas en dos ocasiones, no se obtuvo respuesta alguna.",2017-01-01T00:00:00+01:00,2017-01-01T00:00:00+01:00,Badajoz,Salud,Discriminación directa,,https://informesdiscriminacion.gitanos.org/casos/badajoz-servicios-de-salud-discriminaci%C3%B3n-directa
"En redes sociales apareció el Informe de alta de una mujer que acababa de dar a luz en un Hospital público; en el informe se especificaba la etnia gitana de la mujer, junto con sus datos personales.  ","Desde la FSG se preguntó a otra mujer de etnia gitana que también había acudido al mismo hospital y fue atendida en el mismo departamento de Neonatología, si en su informe habían mencionado la etnia gitana y en este caso no hubo mención a la etnia. A pesar de esta comprobación, se decidió enviar carta al hospital para determinar si el informe que circula por las Redes Sociales era del Centro hospitalario, explicando que la mención a la etnia es un dato de especial protección y que sólo se puede mencionar en causas muy especiales, según la Ley de Protección de datos de carácter personal. La Responsable de la Unidad de Atención a la Ciudadanía del hospital llamó por teléfono a la FSG, que se mostró preocupada por el tema pero no podía confirmar que el informe aparecido en las Redes Sociales fuera real ya que depende de la Unidad de Pediatría y Neonatología y queda pendiente clarificarlo. Por otro lado, la responsable compartió algunas de sus preocupaciones y haciendo referencia a las personas gitanas, comentó algunos problemas de incivismo que sucedían y añadió “tenemos muchos problemas con esta gente”. Desde la FSG se hizo mención a la importancia de la sensibilización y el conocimiento de la Comunidad gitana y formación a los/ as profesionales, con el objetivo de romper el estigma y el prejuicio que puedan existir.  ","Desde el hospital se acogió la propuesta de manera positiva y se mencionó la importancia de hacer extensible esta formación a otros centros. Días después, se recibió carta del hospital que certificaba que en la fecha en que se emitió el informe no figuraba el apartado de la etnia gitana de la madre en ninguno de los informes de alta del Servicio de Neonatología. Se confirmó que de cara al año 2018 se concretarían las sesiones de sensibilización y formación a profesionales del Centro hospitalario por parte de la FSG.",2017-01-01T00:00:00+01:00,2017-01-01T00:00:00+01:00,Barcelona,Salud,Discriminación directa,,https://informesdiscriminacion.gitanos.org/casos/barcelona-servicios-de-salud-discriminaci%C3%B3n-directa
"Un joven de etnia gitana acudió al hospital para su valoración médica, después de haber sufrido un accidente de tráfico. La doctora le solicitó los apellidos varias veces mientras decía: “Vosotros lo que tenéis que hacer es trabajar más, que solo queréis vivir de pagas y subvenciones”.","Después de escuchar estos comentarios prejuiciosos, el joven tenía preocupación por su valoración médica y contactó con el Departamento de Igualdad de la FSG para comentar lo ocurrido. Desde el INSS le valoraron apto para trabajar. El joven relató los hechos y también dio el contacto de su abogado al Departamento, para que contactaran con él. Desde el Departamento se contactó con el abogado, que explicó la estrategia que estaba llevando, iban a presentar demanda ante el Juzgado de lo Social por el tema de las bajas médicas, pero no mencionarían el tema de la discriminación.","Desde la FSG de Zaragoza se hizo seguimiento de la situación y de sus consultas con la doctora que realizó los comentarios. La doctora ya no está, porque estaba realizando una sustitución y la doctora actual tiene muy buen trato con el joven.",2017-01-01T00:00:00+01:00,2017-01-01T00:00:00+01:00,Zaragoza,Salud,Discriminación directa,,https://informesdiscriminacion.gitanos.org/casos/zaragoza-servicios-de-salud-discriminaci%C3%B3n-directa
"Una joven trabajadora de la FSG acudió a su médico del Centro de Atención Primaria. Cuando el médico le preguntó dónde trabajaba, ella le dijo en la FSG y el médico comenzó a expresar comentarios racistas como: “esa gente ya sé yo cómo son, no se lava,… coaccionan a los médicos para que los atendamos antes que a nadie… en la India los exterminaron...”.  ","La joven contó a la Técnica de Igualdad lo ocurrido y ésta le dijo que podía interponer una queja en el SERGAS, que incluyera los comentarios racistas y que solicitara cambio de médico. Pero la joven comentó que el lugar dónde reside es muy pequeño y donde se encuentra el centro de salud se conocen todos.","No quiso interponer la queja, aunque sí decidió cambiar de médico por estos motivos y quiso que se recogiera el caso como un caso de discriminación.",2017-01-01T00:00:00+01:00,2017-01-01T00:00:00+01:00,A Coruña,Salud,Discriminación directa,,https://informesdiscriminacion.gitanos.org/casos/santiago-de-compostela-servicios-de-salud-discriminaci%C3%B3n-directa
"Una trabajadora del Programa educativo Caixa Proinfancia de la FSG acudió a su médica de cabecera y al solicitarle el justificante por ausencia en el trabajo, la doctora le preguntó dónde trababa, ella contestó que trabajaba en la FSG. La doctora con un tono de asombro le preguntó: “¿Cómo? ¿con gitanos?” a lo que la trabajadora respondió que sí, que trabajaba por la promoción y defensa de las personas gitanas. La doctora, con gesto de espanto dijo “Uf, pues no te digo nada”.  ","La trabajadora se sintió intimidada, pero no dijo nada porque se encontraba enferma, trató de cambiarse de médica y poner una queja, pero no fue posible por los cupos que no permiten el cambio.",No quiso llevar a cabo ninguna otra acción porque tiene que seguir las citas médicas con esta doctora.,2017-01-01T00:00:00+01:00,2017-01-01T00:00:00+01:00,Málaga,Salud,Discriminación directa,,https://informesdiscriminacion.gitanos.org/casos/m%C3%A1laga-servicios-de-salud-discriminaci%C3%B3n-directa
