hechos,intervencion,resultado,fecha_hechos,fecha_denuncia,provincia,ambito,tipo_desciminacion,reference
"Un chico gitano trasladó a la FSG que buscando piso se había sentido discriminado. El joven les contó que a través de una agencia inmobiliaria encontró una vivienda en alquiler que se ajustaba a sus posibilidades. Durante las gestiones, no encontró ningún problema, de hecho, consiguió entregar toda su documentación necesaria incluida la fianza. El joven tenía la intención de alquilarla para irse a vivir con su pareja, motivo por el cual, la inmobiliaria solicitó la documentación de la joven gitana, su DNI, etc. En aquel mismo momento la agencia les dijo que probablemente firmarían en diez días más o menos. Días más tarde, recibieron un WhatsApp de la agencia informando de que la aseguradora les había dicho que no aceptaba el riesgo y que por lo tanto no les hacía el seguro por impago. No obstante, el chico sospechaba que había sido por su condición de gitano.","No se pudo denunciar por el tiempo transcurrido y la falta de pruebas, pero se le explicó cómo actuar en sucesivas ocasiones (testing, denuncia en consumo a la inmobiliaria, etc.)","Negativo, dado que no se pudo denunciar.",2019-01-01T00:00:00+01:00,2019-01-01T00:00:00+01:00,A Coruña,Vivienda,Discriminación directa,
"Un hombre gitano aparcó su vehículo en un sitio prohibido, mientras su mujer se quedó esperando dentro del vehículo. Minutos después regresó y vio que un policía local estaba tomando datos de su vehículo y le indicó que estaba comprobando que todo estuviera en regla. El hombre preguntó si lo estaba haciendo con el otro vehículo, en el que estaba una persona no gitana y la mujer de éste dijo que no. Sintieron que el trato dado era distinto al resto y estaban seguros que se debía a su origen étnico.",Se informó y asesoró al hombre de las posibilidades de actuación.,"El hombre decidió ir a la comandancia de la policía y comunicarles su desacuerdo con la actuación, aunque no le retiraron la multa.",2019-01-01T00:00:00+01:00,2019-01-01T00:00:00+01:00,Badajoz,Servicios policiales,Discriminación directa,
"A un hombre gitano le llegó una citación para declarar por el robo de una bicicleta, que cogió en el contenedor para repararla y regalársela a un sobrino. La policía le dijo que la bicicleta era robada y por mucho que él insistió que la habían cogido del contenedor, no le creyeron. Su mujer contactó con la FSG porque estaba convencida de que el trato recibido se debía a su origen étnico.","Desde la FSG se entrevistó a la mujer, se comprobó la citación y se asesoró en el procedimiento judicial. Además, se informó sobre cómo solicitar justicia gratuita.",Positivo. La mujer se quedó satisfecha con el asesoramiento y solicitaron abogado/a de oficio.,2019-01-01T00:00:00+01:00,2019-01-01T00:00:00+01:00,Valencia,Servicios policiales,Discriminación directa,
"Una de las mujeres gitanas que ponen las mesas de venta de lotería de navidad en la Puerta del Sol, llamó preocupada a la FSG para contar que, desde hacía unas semanas, la policía municipal las estaba persiguiendo y amenazándolas con multarlas por poner silla y mesa, como habían hecho durante más de 40 años. La mujer nos dijo que eran más de 50 mujeres gitanas las que cada año, en torno al periodo navideño, vendían lotería en la Puerta del Sol, que era una tradición, pero sobre todo era su forma de ganarse la vida. La mujer nos trasladó que con el cambio de gobierno local, empezaron a sentirse acosadas y solicitó apoyo a la FSG para que intercediéramos.","Desde la FSG se entrevistó a la mujer y se organizó una reunión con el resto de mujeres gitanas que se dedicaban a la venta. Nos reunimos con más de 40 mujeres, que nos contaron la misma preocupación. Comprobamos que la mayoría de estas mujeres, son mujeres mayores de 50 años, que llevan muchos años dedicándose a esta profesión, que ya es una institución. Recopilamos algunos documentos, algunas multas, autorizaciones, licencias y testimonios. Se propuso tener alguna interlocución con el Ayuntamiento y de cara al siguiente año, enviar un escrito al Ayuntamiento exponiendo la preocupación por la situación que están pasando estas mujeres gitanas de avanzada edad, que llevan años con esta profesión.",Pendiente de poner en marcha la estrategia de intervención previo al próximo periodo navideño.,2019-01-01T00:00:00+01:00,2019-01-01T00:00:00+01:00,Madrid,Servicios policiales,Discriminación directa,
"Un joven participante de la FSG, nos contó que le paró la policía, le pidieron su identificación y le preguntaron dónde se dirigía. El joven respondió que estaba realizando sus prácticas en la FSG. Inmediatamente, al escuchar que mencionó la palabra gitano, el policía le preguntó si la bicicleta era suya y le informó que tenían que cachearlo. Finalmente, decidieron no cachearlo y le dejaron que se fuera.",Desde la FSG se le informó al joven del Servicio de Asistencia y Orientación a Víctimas de Discriminación Racial o Étnica y se le asesoró en materia de defensa de derechos e igualdad de trato y no discriminación. Se le propuso trasladar este hecho al responsable de la policía para seguir trabajando en la sensibilización y erradicación de estereotipos en relación a la identificación por aplicar el perfil étnico. También se le informó sobre la importancia de recoger más datos y el número de placa de los agentes.,"Positivo. Se trasladó el incidente al responsable de la policía, que se comprometió a seguir trabajando de manera coordinada.",2019-01-01T00:00:00+01:00,2019-01-01T00:00:00+01:00,Murcia,Servicios policiales,Discriminación directa,
"Una mujer gitana acudió a la Guardia Civil, acompañada de su madre y su hermana, para solicitar protección por las amenazas que estaba recibiendo por parte de su ex pareja. En el cuartel, el agente que las atendió, les preguntó: “¿Vosotras estáis solas?, ¿no tenéis a nadie de vuestra familia que le dé una paliza y os deje ya tranquilas?” . Las mujeres salieron de allí sin que les gustara el comentario que habían hecho y sintiéndose desprotegidas. Supieron que las preguntas tenían que ver con que eran mujeres gitanas.","Desde la FSG se propuso la posibilidad de reunión con la Comandancia de la Guardia Civil o con la Subdelegación del Gobierno, en su área de Seguridad Ciudadana.",La joven prefirió no seguir con la estrategia propuesta puesto que depende de la protección de la Guardia Civil para trasladarse a su puesto de trabajo.,2019-01-01T00:00:00+01:00,2019-01-01T00:00:00+01:00,Granada,Servicios policiales,Discriminación directa,
"Un joven gitano y con un perfil étnico muy marcado contó en la FSG que la policía le paraba reiteradamente, aproximadamente tres veces por semana, para solicitarle su documentación. En ocasiones le registraban y le pedían que sacará todo lo que tuviera en los bolsillos.","Desde la FSG se asesoró al joven y se entabló una interlocución con el Comisario de la policía nacional, en la que se le trasladó la preocupación por la mala praxis en la aplicación de un perfil étnico en las paradas de identificación, que el joven soportaba. Asimismo, el joven dejo su testimonio para un informe sobre sesgo contra la comunidad gitana en el sistema penal de la organización Rights international Spain.","Positivo. Desde que se entabló la comunicación con el comisario, la policía no ha vuelto a parar al joven.",2019-01-01T00:00:00+01:00,2019-01-01T00:00:00+01:00,Burgos,Servicios policiales,Discriminación directa,
"Una mujer gitana que estaba realizando las oposiciones para ser policía nacional, presenció cómo un inspector de policía, durante sus clases a futuros policías, realizó comentarios antigitanos, como los siguientes: “el día que seáis policías, no se os ocurra insultar a nadie, no se os ocurra tratar de forma vejatoria a ninguna persona, respetad siempre la ética policial. Recordad que nosotros no somos gitanos”;”pintas propias de los gitanos”, o refiriéndose a las personas gitanas “da igual dejarlos siete días en el calabozo si ellos no saben contar”.","Desde la FSG se asesoró a esta alumna. Se le informó de la importancia de contra-argumentar en estos espacios. La joven decidió, con el apoyo de la FSG trasladar la preocupación al responsable del inspector.","Desde la FSG se asesoró a esta alumna. Se le informó de la importancia de contra-argumentar en estos espacios. La joven decidió, con el apoyo de la FSG trasladar la preocupación al responsable del inspector.",2019-01-01T00:00:00+01:00,2019-01-01T00:00:00+01:00,Murcia,Servicios policiales,Discriminación directa,
"Agentes de policía nacional participaron como ponentes en una charla a los alumnos de un ciclo formativo de grado superior. El tema principal de la charla fue la prevención de drogas. Fue entonces cuando uno de los agentes puso un ejemplo de una de sus intervenciones en un poblado en que confirmaba literalmente “que había unos gitanos que vendían droga”. En ese momento, fue cuando un joven gitano levantó la mano y le dijo al algente que no le parecía bien que mencionara la etnia de las personas que vendían droga ya que esa información no era relevante en el relato y que sólo contribuiría a perpetuar una imagen estereotipada y asociada a la delincuencia de las personas gitanas. El joven le dijo que no le parecía justo. El agente de policía lejos de rectificar, insistió en que las personas que allí vendían drogas eran gitanas y que no había motivo para omitir aquel dato. Al final, el alumno abandonó voluntariamente la sala por las discrepancias con el agente. El joven no recibió apoyo de otros alumnos gitanos de la sala ni tampoco del profesor, situación que le afectó.","Desde la FSG se preparó una carta de queja y se envió a la comisaría de policía de Huesca para informar de lo que sucedió, sobre todo de la actitud y la respuesta del agente de policía al joven. Unos días más tarde, el coordinador de la FSG en Huesca tuvo la oportunidad de encontrarse directamente con el policía nacional que hizo esos comentarios y le comentó que no fue apropiado y aprovechó para explicarle nuestro trabajo en sensibilización hacia la comunidad gitana. Tras la conversación que se mantuvo con el agente, nos pusimos en contacto con el joven para infórmale de nuestra intervención. Además de la interlocución directa con el agente de policía nacional, desde la FSG se envió una carta a la comisaría de policía de referencia para informar de lo que sucedió con el agente y se solicitó que tomaran medidas para que aquello no volviera a ocurrir. Posteriormente, se concertó una entrevista con el centro educativo e igualmente se les pidió que procurasen que los agentes que participaran en sus charlas y coloquios estuviesen sensibilizados.",El resultado fue considerado como positivo.,2019-01-01T00:00:00+01:00,2019-01-01T00:00:00+01:00,Huesca,Servicios policiales,Discriminación directa,
"Hubo una intervención policial en una vivienda ocupada ilegalmente por una familia, que las personas afectadas consideraron como desproporcionada, habida cuenta del uso de la fuerza empleado.","La FSG se puso en contacto con la subdelegada del Gobierno para comentarle la situación que vivieron algunas personas gitanas a quienes directamente les afectó la intervención de los agentes en el barrio donde ocurrieron los hechos. La Subdelegada de Gobierno nos trasladó la información que le habían reportado algunos de los agentes de policía que intervinieron en el incidente. Por otro lado, se le trasladó que algunas personas gitanas afectadas habían contado otra versión de los hechos, sobre todo en relación a la intervención de los agentes, la cual describieron como desproporcionada. Ante esta situación, la subdelegada nos dijo que se solicitaría más información al respecto y que se pondría en contacto con la entidad para informarnos.","Finalmente, no se pudo contrastar la información.",2019-01-01T00:00:00+01:00,2019-01-01T00:00:00+01:00,Salamanca,Servicios policiales,Discriminación directa,['https://www.lagacetadesalamanca.es/sucesos/2019/02/22/piedras-tubo-escape-martillobarra/261383.html']
