hechos,intervencion,resultado,fecha_hechos,fecha_denuncia,provincia,ambito,tipo_desciminacion,reference,link
"en un colegio de educación primaria de la provincia de Huesca se realizan actividades con familias gitanas, una escuela de madres, mientras los niños acuden a las clases de apoyo escolar. en una ocasión ambas actividades coinciden en la misma sala. la monitora que realiza la actividad con cuatro niños, tres de ellos de etnia gitana, enuncia de la siguiente forma un problema matemático: “si j.r tiene 20 piojos y e. le quita 12, ¿cuántos piojos tiene ahora j.r?”. una de las madres comenta a la monitora que parece poco educativo el ejemplo que planteaba; ella contesta que así lo entenderían mejor. la fsg se pone en contacto con la dirección del colegio, que manifiesta su pesar por lo sucedido y asegura mantener una reunión con la monitora en cuestión para evitar situaciones similares en el futuro. las familias afectadas se sintieron resarcidas y no quisieron desarrollar ninguna otra actuación.",,,2010-01-01T00:00:00+01:00,2010-01-01T00:00:00+01:00,Huesca,Educación,Sin especificar,,https://informesdiscriminacion.gitanos.org/casos/mayo-arag%C3%B3n-educaci%C3%B3n
"Para la puesta en funcionamiento de un programa educativo de la FSG, cuyo objetivo es conseguir tasas más elevadas de éxito académico en el último ciclo de Educación Primaria Secundaria obligatoria, y promover la continuidad en estudios medios y/o superiores y Formación Profesional, se precisa que el centro educativo se comprometa a participar en las acciones que se lleven a cabo con los menores. En el presente caso, la Técnico del programa educativo en la provincia de Jaén, se reúne con la dirección de un centro escolar y la familia de la menor en cuestión, para solicitar su colaboración. En el encuentro mantenido, pese a que la dirección tiene un buen concepto sobre la menor, se puede observar una actitud estereotipada y prejuiciosa hacia la comunidad gitana por parte de la jefa de estudios, quien manifiesta haber tenido malas experiencia en otro centro con comunidad gitana. Esta actitud es discutida y se trata de sensibilizar sobre la necesaria evitación de las generalizaciones.",,,2010-01-01T00:00:00+01:00,2010-01-01T00:00:00+01:00,Jaén,Educación,Sin especificar,,https://informesdiscriminacion.gitanos.org/casos/abril-andaluc%C3%ADa-educaci%C3%B3n
"La madre de una menor de 13 años, acude a la sede de la FSG en Almería aduciendo discriminación hacia su hija en su centro escolar, tanto por parte de un profesor como de varios compañeros. Al parecer, le llaman continuamente gitana sucia y le dicen que se marche del colegio. La menor al principio no cuenta nada a su familia, empieza a no querer acudir a clase y a presentar un cuadro depresivo, hasta que un día tiene que ser tratada por trastorno de ansiedad. La madre acude al centro escolar para reunirse con el director del colegio, el cuál asegura que lo ocurrido “son cosas de niños” y que en su centro no existen conductas discriminatorias ni racismo.",,,2010-01-01T00:00:00+01:00,2010-01-01T00:00:00+01:00,Almería,Educación,Sin especificar,,https://informesdiscriminacion.gitanos.org/casos/febrero-andaluc%C3%ADa-educaci%C3%B3n-0
"Un joven de etnia gitana estudia un Programa de Cualificación Profesional Inicial (PCPI) de electricidad. Para la realización de las prácticas, el centro se pone en contacto con las diferentes empresas del gremio que hay en la provincia de Almería, negándose todas ellas a aceptar gitanos o inmigrantes.",,,2010-01-01T00:00:00+01:00,2010-01-01T00:00:00+01:00,Almería,Educación,Sin especificar,,https://informesdiscriminacion.gitanos.org/casos/febrero-andaluc%C3%ADa-educaci%C3%B3n
"Una madre, a la salida de un colegio concertado de la provincia de Huelva, llama a su hija por su nombre y primer apellido. Otra mujer al escucharlo comenta: “Ese apellido es de gitanos”, a lo que la niña responde que ella es gitana. La mujer añade: “Pues no digas eso que no se te nota que eres gitana”. La madre de la menor contesta que no hay razón para ocultar su etnia, que su padre es gitano y la niña está orgullosa de ser gitana.",,,2010-01-01T00:00:00+01:00,2010-01-01T00:00:00+01:00,Huelva,Educación,Sin especificar,,https://informesdiscriminacion.gitanos.org/casos/enero-andaluc%C3%ADa-educaci%C3%B3n
"Una mujer, a la salida de un centro comercial en Valencia donde trabaja, estando con su marido y cuñada, de etnia gitana, coincide con la encargada de su tienda. Esta última, al ver a su familia, pregunta a la trabajadora por su origen étnico. Al día siguiente le comunican su despido. La mujer pide una explicación y la encargada dice directamente que es por ser gitana, que no se fía. Su contrato acababa de ser renovado y tan solo dos días antes del despido había sido propuesta su promoción. La joven, ante unos hechos que encajan en lo que la ley describe como despido improcedente, ha recibido asesoramiento legal por parte de la Fundación.",,,2010-01-01T00:00:00+01:00,2010-01-01T00:00:00+01:00,Valencia,Empleo,Sin especificar,,https://informesdiscriminacion.gitanos.org/casos/noviembre-comunidad-valenciana-empleo
"Una usuaria del programa Acceder de la FSG de Córdoba, está realizando un curso de formación profesional ocupacional de dependienta de comercio y, por motivos familiares, se ve en la obligación de dejar el curso. En el momento de presentar dicha renuncia, el técnico de la formación comienza a proferir todo tipo de estereotipos insultantes sobre la etnia gitana, tales como: “Los gitanos no quieren estudiar, seguro que es tu marido el que te obliga, es normal que los gitanos estéis así de atrasados”. Es decir, sin la información suficiente, el técnico presupone que el motivo por el que deja el curso, no es ajeno a su condición de gitana.",,,2010-01-01T00:00:00+01:00,2010-01-01T00:00:00+01:00,Córdoba,Empleo,Sin especificar,,https://informesdiscriminacion.gitanos.org/casos/octubre-andaluc%C3%ADa-empleo-1
"Una joven, de la provincia de Almería, se encuentra trabajando en una frutería. La empresa decide despedirla porque, según la dirección, el establecimiento ha bajado sus ventas debido a la etnia de la joven, puesto que responde al estereotipo físico normalmente atribuido a las personas pertenecientes a dicha etnia y los clientes no quieren comprar a personas gitanas. Los prejuicios provocan que ciertos hechos objetivos, como puede ser una bajada en las ventas en época de crisis económica, sean atribuidos a personas determinadas en base a su etnia.",,,2010-01-01T00:00:00+01:00,2010-01-01T00:00:00+01:00,Almería,Empleo,Sin especificar,,https://informesdiscriminacion.gitanos.org/casos/octubre-andaluc%C3%ADa-empleo-0
"Los prospectores laborales de la FSG realizan un sondeo de empresas que puedan estar interesadas en realizar contrataciones de nuevo personal. En este caso, se trata nuevamente de un taller mecánico de reparación de vehículos en la provincia de Almería, donde el gerente reconoce abiertamente que no quiere trabajadores de etnia gitana debido a malas experiencias en el pasado. La discriminación directa en el acceso al empleo es, como vemos, uno de los casos más frecuentes y con mayor dificultad de resolución. La labor de sensibilización es clave para luchar contra las ideas negativas preconcebidas que la sociedad tiene frente a la comunidad gitana en su conjunto. Obviamente, la heterogeneidad de dicha comunidad hace imposible atribuir determinadas conductas inadecuadas a todo un grupo de personas, en base a la pertenencia a una misma etnia.",,,2010-01-01T00:00:00+01:00,2010-01-01T00:00:00+01:00,Almería,Empleo,Sin especificar,,https://informesdiscriminacion.gitanos.org/casos/octubre-andaluc%C3%ADa-empleo
"En Huesca, una joven de etnia gitana comienza a trabajar en una zapatería. El trato por parte de las encargadas parece ser desde un principio bastante desagradable, refiriéndose a ella como “gitana” o siendo la única que no puede disfrutar de su pausa, o afirmando ante las clientas que las gitanas no saben trabajar, entre otros. En una ocasión falta dinero de la caja y la joven es acusada directamente. Cuando se dan cuenta que ha sido un error en los pagos con las tarjetas bancarias, no recibe ninguna disculpa por la falsa acusación. La joven intenta ponerse en contacto con la sede central de la zapatería en Zaragoza pero, tras habar con la responsable, la única solución que se le plantea es abandonar el puesto de trabajo. Desde la FSG, ante esta situación de acoso laboral, desarrollamos una labor de interlocución con la empresa sin lograr un acuerdo, puesto que las encargadas del negocio niegan en todo momento un trato discriminatorio hacia la joven. Finalmente la trabajadora abandonó el puesto de trabajo. Cabe señalar, sin embargo, que ante una nueva oferta laboral, una usuaria de la Fundación, que no es de etnia gitana pero que pudiera parecerlo físicamente, ha sido rechazada para trabajar en la misma tienda, presuntamente por ser demasiado mayor. Esta mujer tiene 29 años.",,,2010-01-01T00:00:00+01:00,2010-01-01T00:00:00+01:00,Huesca,Empleo,Sin especificar,,https://informesdiscriminacion.gitanos.org/casos/septiembre-arag%C3%B3n-empleo
"En la provincia de Cáceres, una Agencia de Trabajo Temporal (ETT) oferta un trabajo para realizar sustituciones durante el periodo vacacional estivo. La ETT selecciona a una mujer de etnia gitana con discapacidad sensorial de un 45%. Superada esta primera fase, la mujer mantiene la última entrevista con la empresa contratante, la cual descarta su candidatura en base a los siguientes argumentos: Tener discapacidad auditiva; ser gitana; y por su poca expresividad durante la entrevista. El técnico de la Fundación, en un intento de negociación, argumentó ante la empresa que las entrevistas iban dirigidas a personas con algún tipo de discapacidad y que la candidata presentada cumplía, además de éste, el resto de requisitos exigidos en la oferta. Sin embargo la responsable no cambió de idea puesto que según su parecer “a una gitana no se la puede dejar sola en la oficina, y tal y como están las cosas no me puedo exponer a perder clientes”.",,,2010-01-01T00:00:00+01:00,2010-01-01T00:00:00+01:00,Cáceres,Empleo,Sin especificar,,https://informesdiscriminacion.gitanos.org/casos/julio-extremadura-empleo
"En la provincia de Sevilla, una joven de etnia gitana, que se encuentra en búsqueda de empleo, asiste a una entrevista de trabajo y durante la misma la trasladan que no es aceptada porque físicamente responde al estereotipo de etnia gitana. La interesada prefirió no realizar actuación alguna al respecto.",,,2010-01-01T00:00:00+01:00,2010-01-01T00:00:00+01:00,Sevilla,Empleo,Sin especificar,,https://informesdiscriminacion.gitanos.org/casos/junio-andaluc%C3%ADa-empleo-2
