hechos,intervencion,resultado,fecha_hechos,fecha_denuncia,provincia,ambito,tipo_desciminacion,reference,link
"Una joven que buscaba empleo vio un cartel en un bar que buscaban personal y entró a hablar con el responsable, le expuso su interés en la oferta y dejó su curriculum. El responsable revisó su curriculum y, al ver que cumplía el perfil, le dijo que el día siguiente le llevara toda la documentación para comenzar ya a trabajar. La joven tramitó toda la documentación que le había solicitado (fotocopia de DNI, cartilla de seguridad social y número de cuenta bancaria) y se la entregó el día siguiente, tal y como habían quedado. El responsable, que reconoció los apellidos asociados a las personas gitanas, le dijo: “lo siento, aquí no quiero personas gitanas trabajando”. La joven afectada acudió a la FSG a contar lo que le había pasado.","La técnica de igualdad entrevistó a la joven que corroboró los hechos y además contactó con un testigo que confirmó lo sucedido. Se informó a la joven de sus derechos y se le propuso algunas posibilidades. Desde la FSG se llamó al responsable del local, que no reconoció los hechos. Se informó a la joven y se planteó llevar a cabo otra actuación.",La joven no quiso seguir adelante con la estrategia de actuación.,2018-01-01T00:00:00+01:00,2018-01-01T00:00:00+01:00,Murcia,Empleo,Discriminación directa,,https://informesdiscriminacion.gitanos.org/casos/los-alc%C3%A1zares-murcia-empleo-discriminaci%C3%B3n-directa
"Una mujer fue a una entrevista de trabajo para un puesto vacante en una panadería; el encargado de tienda y responsable de la entrevista le dijo en numerosas ocasiones que la joven tenía el perfil adecuado para el puesto. Sin embargo, antes de finalizar con la entrevista, el encargado le dijo: “una última cosa, ¿tú, eres gitana?”, a lo que la joven respondió un poco desubicada, ¿por qué? y el encargado le dijo: “no, por nada, es que tengo muchos amigos y amigas flamencos”. Finalizó diciéndole que le llamarían para darle una respuesta. La joven salió del establecimiento con una sensación extraña, no encontró sentido a la última pregunta y no le gustó nada que se la hiciera. Se lo comentó también a su madre que le estaba esperando fuera: “mamá, mira lo que me ha preguntado el encargado, que si soy gitana, no lo entiendo, con lo bien que ha ido la entrevista”.",Se asesoró a la joven por si le volvía a pasar cómo podía actuar y cuáles eran sus derechos.,En este caso fue imposible llevar a cabo una actuación porque los hechos se habían producido hacía un mes. La joven quiso que recogiéramos el caso.,2018-01-01T00:00:00+01:00,2018-01-01T00:00:00+01:00,Cádiz,Empleo,Discriminación directa,,https://informesdiscriminacion.gitanos.org/casos/jerez-de-la-frontera-empleo-discriminaci%C3%B3n-directa-0
"Una joven gitana fue candidata para un puesto de trabajo en una cafetería, donde había hecho prácticas laborales. Después de ir a la empresa mediadora y de hacer la entrevista varias veces con la empresa, le dijeron que la iban a contratar. Tras un tiempo sin que la llamaran para empezar, la prospectora de la FSG se puso en contacto con la empresa mediadora, a la que le dijeron que no querían contratar a una chica gitana.",Hablamos con la empresa mediadora para ver lo ocurrido y con la empresa que iba a contratar a nuestra participante. La empresa negó los hechos. Finalmente no contrataron a la joven.,: Negativo. No fue posible demostrar con pruebas la discriminación.,2018-01-01T00:00:00+01:00,2018-01-01T00:00:00+01:00,Córdoba,Empleo,Discriminación directa,,https://informesdiscriminacion.gitanos.org/casos/c%C3%B3rdoba-empleo-discriminaci%C3%B3n-directa-2
"Una mujer gitana, que colabora con dos grupos musicales en algunas actuaciones, iba a tocar en un establecimiento en Huelva. Al intentar entrar para preparar su actuación, las personas de seguridad no la dejaron entrar, ni a ella, ni a una amiga que iba con ella, también gitana. Las chicas decidieron esperar al resto del grupo, un poco más apartadas del lugar y una vez llegaron se dirigieron todos hacia la persona de seguridad. Esta comentó a su compañero que “no pueden entrar porque son gitanas y más tarde tendrá el local lleno de gitanos”. Este comentario fue oído por un miembro del grupo musical, que intentó mediar en el caso, pero finalmente las chicas no pudieron entrar en el local.","Se les han planteado posibles estrategias de actuación, pero ellas prefirieron no continuar.",Las víctimas decidieron no tomar ninguna iniciativa contra el local.,2018-01-01T00:00:00+01:00,2018-01-01T00:00:00+01:00,Huelva,Empleo,Discriminación directa,,https://informesdiscriminacion.gitanos.org/casos/huelva-empleo-discriminaci%C3%B3n-directa-2
"Una joven gitana comenzó a trabajar en limpieza de hospitales en el mismo sitio donde había hecho sus prácticas, donde ya había notado actitudes discriminatorias contra los gitanos. Un día las compañeras de trabajo hicieron comentarios del tipo: ‘’mira cómo han dejado la habitación tus primos’’, lo que hizo que ella se sintiera mal.","La FSG se reunió con la víctima, la prospectora laboral, y la jefa de personal de limpieza del hospital para contarle lo ocurrido. La actitud de la jefa de personal fue proactiva en todo momento, estaba interesada en que la FSG diera en los próximos cursos un taller de sensibilización sobre la discriminación antigitana.",Positivo. El hospital ha colaborado activamente y ha incluido esta sensibilización en futuros cursos formativos.,2018-01-01T00:00:00+01:00,2018-01-01T00:00:00+01:00,Córdoba,Empleo,Discriminación directa,,https://informesdiscriminacion.gitanos.org/casos/c%C3%B3rdoba-empleo-discriminaci%C3%B3n-directa-1
"Tras ver una oferta de trabajo en una frutería publicada en Mil Anuncios, un joven contactó con la dueña de la misma. Esta le preguntó en qué barrio de Valladolid tenía su residencia. Cuando la dueña se enteró de la zona de residencia, que es un barrio donde reside una parte de la comunidad gitana, la dueña le preguntó si era gitano. Cuando él afirmó que sí, la dueña le dijo que entonces no quería contratarlo.","Contactamos por teléfono con la dueña de la frutería haciéndonos pasar por un participante. Logramos tener una entrevista de trabajo y a ella acudió un participante de etnia gitana y la técnica de igualdad haciéndose pasar por su pareja. Cuando llegamos a la frutería a hacer la entrevista, la dueña nos preguntó si éramos españoles; cuando dijimos que éramos gitanos, nos dijo que no tenía problemas ni quería malos entendidos. Primero nos dijo que no quería inmigrantes y luego al preguntarle que si tenía problemas con inmigrantes y gitanos, se excusó diciendo que era por si no sabían el idioma. Finalmente no llamó para decirnos si le interesaba contratar al participante gitano.",La estrategia no ha sido efectiva por que la dueña de la frutería a pesar de haber dejado claro que no quiere trabajadores inmigrantes ni gitanos supo argumentar evitando discriminar directamente a las víctimas.,2018-01-01T00:00:00+01:00,2018-01-01T00:00:00+01:00,Valladolid,Empleo,Discriminación directa,,https://informesdiscriminacion.gitanos.org/casos/valladolid-empleo-discriminaci%C3%B3n-directa-0
"Un joven de etnia gitana se dirigió junto con su compañera de trabajo no gitana a hablar con la dueña de un bar para llevar a cabo una actuación flamenca. La dueña respondió que estaba dispuesta a contratar a la mujer no gitana, pero se negaba a contratar a personas gitanas alegando que no quería a gitanos en su bar por un conflicto que tuvo lugar en su bar con personas de etnia gitana.",Entrevistamos al joven y la asesoramos sobre posibles actuaciones. Él tenía como medios de prueba una testigo que a su vez es su compañera de actuaciones flamencas y conversaciones por whatsapp donde se reflejaba la negativa por parte de la dueña a contratar a personas de etnia gitana para actuaciones flamencas en su bar.,El joven decidió no iniciar acciones por miedo a represalias.,2018-01-01T00:00:00+01:00,2018-01-01T00:00:00+01:00,Valladolid,Empleo,Discriminación directa,,https://informesdiscriminacion.gitanos.org/casos/valladolid-empleo-discriminaci%C3%B3n-directa
"Una participante del programa Acceder, no gitana, comenzó a trabajar en un bar y se enteró de que necesitaban incorporar nuevos camareros, por lo que comunicó la oferta de empleo a la FSG. Enviamos al local a un grupo de chicos y chicas que habían realizado la formación en hostelería. Cuando terminaron las entrevistas el dueño le dijo a nuestra participante que “no le enviara más moros ni gitanos” porque no los iba a contratar.",No hubo estrategia de actuación ya que la persona que denunció el caso trabajaba allí y no deseaba que hiciéramos ninguna acción pero sí que la recogiéramos en nuestro informe.,Sin intervención.,2018-01-01T00:00:00+01:00,2018-01-01T00:00:00+01:00,Córdoba,Empleo,Discriminación directa,,https://informesdiscriminacion.gitanos.org/casos/c%C3%B3rdoba-empleo-discriminaci%C3%B3n-directa-0
"Un comercio de Zamora llevaba tiempo colaborando con la FSG y se le propuso un grupo de alumnos/ as para realizar prácticas laborales en su local. La prospectora mantuvo una reunión y en principio se acordó firmar un convenio de colaboración entre ambas. Tras un primer acuerdo con la dueña de la tienda recibimos una llamada diciéndonos que ya no quería firmar el convenio y que renunciaba al alumnado en prácticas diciendo que eran gitanos y que en su tienda su ropa no tenía alarmas, que su clientela era muy selecta y que no deseaba tener estos perfiles en su local.",Desde la FSG en Zamora se solicitó una reunión con la dueña con la finalidad de hacerle ver que tenía prejuicios y estereotipos hacia el alumnado gitano. La dueña aceptó la reunión y se mantuvo la reunión que se llevó a cabo junto con la mediadora intercultural de la entidad.,"Negativo. Después de la reunión que mantuvimos volvimos a mantener en repetidas ocasiones contacto con la dueña pero sin éxito. En todo momento, se negó a contratar en prácticas a alumnado gitano.",2018-01-01T00:00:00+01:00,2018-01-01T00:00:00+01:00,Zamora,Empleo,Discriminación directa,,https://informesdiscriminacion.gitanos.org/casos/zamora-empleo-discriminaci%C3%B3n-directa-0
"Un comercio conocido en Zamora mantuvo una reunión con nuestro prospector del Programa de Empleo ACCEDER para ver la posibilidad de contratar a un grupo de alumnos/as en prácticas, a lo que en principio accedieron. Al cabo de unos días, la gerente declinó la solicitud al considerar que los jóvenes gitanos/as podían dar mala imagen al comercio.",Desde la FSG nos pusimos en contacto con la gerente para sensibilizarla y contarle los objetivos del Programa ACCEDER.,La gerente no se negó pero dijo que lo valoraría más adelante.,2018-01-01T00:00:00+01:00,2018-01-01T00:00:00+01:00,Zamora,Empleo,Discriminación directa,,https://informesdiscriminacion.gitanos.org/casos/zamora-empleo-discriminaci%C3%B3n-directa
