hechos,intervencion,resultado,fecha_hechos,fecha_denuncia,provincia,ambito,tipo_desciminacion,reference
Un usuario compartió en su cuenta de Instagram un juego donde se criminalizaba a la comunidad gitana. El juego se publicitaba con un post en el que aparece una imagen con el siguiente texto: “encuentra las 3 principales fuentes de ingresos de los gitanos”. A partir del post se abre un hilo de comentarios del tipo:,se envió queja a la empresa y al usuario.,Negativo. No hubo respuesta.,2019-01-01T00:00:00+01:00,2019-01-01T00:00:00+01:00,Estatal,Redes sociales,Discriminación directa,
un usuario de Spotify publicó un podcast con chistes antigitanos.,"se envió carta de queja a la empresa, solicitando su retirada.",Negativo. No hubo respuesta.,2019-01-01T00:00:00+01:00,2019-01-01T00:00:00+01:00,Estatal,Redes sociales,Discriminación directa,['https://open.spotify.com/album/2lZRcsuGwJggvweCdWVJhb?si=Z7X24Q9QRkCLvZKYPMtIfA']
"Un video publicado en Youtube expresaba muchos estereotipos e insultos contra la comunidad gitana, y sobre las mujeres gitanas.",se envió una queja a Youtube pidiendo la retirada del video y de los comentarios de odio.,Negativo. No hubo respuesta.,2019-01-01T00:00:00+01:00,2019-01-01T00:00:00+01:00,Estatal,Redes sociales,Discriminación interseccional,['https://www.youtube.com/watch?v=N7eeKDZLdW0&feature=youtu.be']
"Se publicó en Change.org una petición contra unas familias que habían ocupado una casa, mencionando la etnia gitana de dichas familias.",Se envió una carta de queja solicitando la retirada de esa referencia étnica.,Negativo. No se modificó.,2019-01-01T00:00:00+01:00,2019-01-01T00:00:00+01:00,Estatal,Redes sociales,Discriminación directa,
"Un usuario de Facebook publicó el siguiente post: “Quiero informar a todos los gitanos de España que los radares de la DGT tienen 2kg de cobre. Ahí lo dejo”. Se trata de un comentario que fomenta los estereotipos hacia el pueblo gitano, sugiriendo que todos los gitanos roban cobre.",Se denunció el perfil de Facebook por contenido inapropiado,Negativo. No se modificó ni se retiró el post.,2019-01-01T00:00:00+01:00,2019-01-01T00:00:00+01:00,Estatal,Redes sociales,Discurso de odio,
Dos mujeres gitanas acudieron al programa Gente maravillosa como actrices para realizar un programa sobre discriminación. Una vez finalizo el programa de Canal Sur de TV la cadena subió el programa a su canal de Youtube. Las dos chicas estuvieron atentas a los comentarios por canal de Youtube para ver las opiniones sobre el programa y se encontraron con muchos comentarios antigitanos como:  ,"Las muchachas decidieron ser ellas la que contestaran a dichos comentarios. La técnica de igualdad le cedió una cuenta de Youtube y les asesoró para responder siempre desde el respeto. Sus comentarios fueron valorados como buenos, además muchos usuarios han eliminado sus comentarios visto que dichos comentarios no estaban bien. También contestaron a preguntas que realizaban los usuarios hacia la comunidad gitana y que desconocían.",Positivo,2019-01-01T00:00:00+01:00,2019-01-01T00:00:00+01:00,Estatal,Redes sociales,Discurso de odio,
"Un usuario de Facebook publicó un post con frases negativas sobre las personas gitanas: “¿para qué quiere un gitano 8 semanas de paternidad si están todo el año sin hacer nada?” y “tal vez sea funcionario y tenga derecho al permiso, aunque lo dudo”.","Tras la reunión mantenida con la fiscal de delitos de odio y discriminación de Cáceres, ésta nos asesoró que denunciáramos el caso por atacar a la dignidad de la víctima y la del pueblo gitano. Acompañamos a la víctima a interponer la denuncia.",Negativo. Desde Fiscalía se archivó el caso.,2019-01-01T00:00:00+01:00,2019-01-01T00:00:00+01:00,Estatal,Redes sociales,Discurso de odio,
Una usuaria de Facebook publicó un post con frases de odio contra las personas gitanas: “Tenía que venir una epidemia de gripe gitana... todos muertos... solo saben robar y vender droga”.,"Se comprobó la existencia del post por capturas de pantalla hechas por otras personas, pero no logramos entrar en el perfil por estar protegido.",Negativo.,2019-01-01T00:00:00+01:00,2019-01-01T00:00:00+01:00,Estatal,Redes sociales,Discurso de odio,
"Una chica compartió una noticia en su perfil de Facebook, relacionada con una persona enferma de esclerosis múltiple que pide su propia muerte, ya que no soporta la situación en la que se encuentra por su enfermedad. Una joven gitana realizó un comentario con su opinión sobre la noticia, donde decía que ella no compartía esa visión y no consentiría eso a ningún familiar, además mencionaba a su hermano que tiene la misma enfermedad. La chica responde: “...Yo tengo esclerosis múltiple dudo que tu hermano tenga dicha enfermedad, para decir yo no lo haría, porque si no sabrías lo que se sufre... pero viendo tu apellido supongo que eres de etnia gitana, no lo harías por tu religión, a ti tu hermano te importa más bien poco... haznos un favor y no digas que eres una persona aludida, hay mucha gente sufriendo”.",la joven gitana llamó a la FSG para pedir consejo. Se le informó sobre cómo debe denunciar el perfil de la persona que había realizado el comentario racista.,Positivo. La joven gitana denunció el perfil de la persona que había realizado el comentario racista y comprobamos que este se había eliminado.,2019-01-01T00:00:00+01:00,2019-01-01T00:00:00+01:00,Estatal,Redes sociales,Discurso de odio,
Una persona publica en su cuenta de Facebook un anuncio sobre el robo de un perro en la calle. En el anuncio hace mención a la etnia gitana del presunto ladrón.,"Se le envió un whatsapp en tono amable, sintiéndolo por la desaparición del perro y comunicándole que mencionando la etnia no se aporta dato relevante para la identificación del secuestrador de su perro, además de contribuir a la estigmatización de la comunidad gitana.",Positivo. La autora del mensaje lo modificó eliminando la mención a la etnia.,2019-01-01T00:00:00+01:00,2019-01-01T00:00:00+01:00,Estatal,Redes sociales,Discriminación directa,
Encontramos un perfil de Facebook donde aparecía la siguiente información de la usuaria: “Porque odio a los gitanos mugrientos. Tendrían que matarlos a todos desde chicos”.,Se analizó el perfil y no encontramos más comentarios de odio ni la información que habíamos descubierto anteriormente. Parece que la usuaria lo borró.,Positivo. El comentario de odio ha desaparecido.,2019-01-01T00:00:00+01:00,2019-01-01T00:00:00+01:00,Estatal,Redes sociales,Discurso de odio,
