hechos,intervencion,resultado,fecha_hechos,fecha_denuncia,provincia,ambito,tipo_desciminacion,reference,link
"La bolsa de ayuda a la vivienda en alquiler en la que se encuentra inscrita una mujer gitana, la cita para mantener una entrevista con uno de los propietarios de los inmuebles. De manera informal, se le comunica previamente que la futura inquilina es gitana, ante lo que se muestra reticente afirmando que teme “que se meta mucha gente en el piso, y tenga problemas con el vecindario”, aunque finalmente acaba aceptando alquilarle la vivienda. Sin embargo, cuando se intenta establecer una cita, el propietario vuelve a negarse diciendo que “no quiere tener problemas en su piso y por eso no lo va a alquilar a gitanos”. A pesar de que los trabajadores de la FSG intentan que reconsidere su decisión, el propietario mantiene su postura.",,,2005-01-01T00:00:00+01:00,2005-01-01T00:00:00+01:00,Pontevedra,Vivienda,Sin especificar,,https://informesdiscriminacion.gitanos.org/casos/vigo-pontevedra-junio-discriminaci%C3%B3n-en-la-vivienda
"La FSG concierta una entrevista de trabajo entre un usuario y el encargado de una hamburguesería de la localidad. La entrevista transcurre con total normalidad hasta que el encargado solicita sus datos personales y se interesa por su lugar de residencia. Cuando el chico le informa de que vive en un barrio que cuenta con un alto porcentaje de población gitana, el encargado de la selección le dice que lo siente, pero que el puesto ya está ocupado.",,,2005-01-01T00:00:00+01:00,2005-01-01T00:00:00+01:00,Ciudad Real,Empleo,Sin especificar,,https://informesdiscriminacion.gitanos.org/casos/ciudad-real-junio-discriminaci%C3%B3n-en-el-empleo
"Un matrimonio gitano acude a una inmobiliaria para entregar la reserva de una vivienda en alquiler, tal y como habían pactado previamente por teléfono. En la inmobiliaria les informan de la urgencia del propietario, que desea firmar el contrato cuanto antes, aunque días después, les comunican su decisión de no alquilarles la vivienda. La FSG se reúne con el director de la Inmobiliaria, que reconoce que se trata de un caso de discriminación, y se compromete a retirar dicha vivienda de su agencia, para evitar que vuelva a repetirse una situación similar.",,,2005-01-01T00:00:00+01:00,2005-01-01T00:00:00+01:00,Valencia,Vivienda,Sin especificar,,https://informesdiscriminacion.gitanos.org/casos/valencia-junio-discriminaci%C3%B3n-en-la-vivienda
"El Gobierno Vasco anuncia que va a cerrar un colegio que cuenta con un alumnado exclusivamente gitano, afirmando que posee un nivel curricular muy bajo y una concentración excesiva de población marginal, lo que genera un nivel de conflictividad de difícil manejo. Algunas asociaciones gitanas, a pesar de estar de acuerdo con la medida por tratarse de un “centro gueto” que no favorece la integración, critican las afirmaciones realizadas en el escrito del Gobierno Vasco, así como el procedimiento que va a llevarse a cabo para efectuar dicho cierre, sin suficientes garantías para los afectados.",,,2005-01-01T00:00:00+01:00,2005-01-01T00:00:00+01:00,Bizkaia,Educación,Sin especificar,,https://informesdiscriminacion.gitanos.org/casos/baracaldo-vizcaya-junio-discriminaci%C3%B3n-en-la-educaci%C3%B3n
"Una usuaria de la FSG realiza una demanda urgente de búsqueda de vivienda. Los técnicos de la entidad llevan a cabo contactos, peticiónes de citas y mediación, tanto con particulares como con inmobiliarias. Las respuestas de estos son contradictorias, ya que cuando se solicita cita por teléfono, las viviendas están listas para alquilar, pero al mandar a la usuaria en persona a las entrevistas, siempre alegan sutilmente que ya está alquilada o reconocen que “los dueños no quieren gitanos”. A pesar de los esfuerzos de la FSG, la usuaria sólo consigue acceder a una vivienda cuando modifica su manera de vestir y de expresarse, para no parecer gitana.",,,2005-01-01T00:00:00+01:00,2005-01-01T00:00:00+01:00,Zaragoza,Vivienda,Sin especificar,,https://informesdiscriminacion.gitanos.org/casos/zaragoza-junio-discriminaci%C3%B3n-en-la-vivienda
"Un joven chico gitano realizó una entrevista de trabajo para trabajar en un supermercado. El encargado le comentó que aunque cumplía bien con los requisitos, su jefe no quería gitanos en su empresa.","Tras la entrevista con la víctima y llamada telefónica al encargado averiguamos que esa persona efectivamente ha realizado la entrevista en esas fechas. Se llamó al encargado, quien explicó que ya habían escogido a otra persona, pero negó la discriminación.",La víctima no quiso realizar más acciones.,2018-01-01T00:00:00+01:00,2018-01-01T00:00:00+01:00,Jaén,Empleo,Discriminación directa,,https://informesdiscriminacion.gitanos.org/casos/ja%C3%A9n-empleo-discriminaci%C3%B3n-directa-5
"Una joven gitana trabajaba en una cafetería en un municipio de la provincia de Jaén. Tras varios conflictos con una compañera relacionados con su trabajo, esta le hizo varios comentarios muy ofensivos y racistas refiriéndose al hecho de que fuera gitana: “es gitana y todas las gitanas son guarras”, “las gitanas sois lo peor, dais asco”. La joven acusó de racista a esta persona. El jefe, que fue testigo de esos comentarios, comentó que no podía hacer nada. La compañera le pidió que eligiera entre ella o la víctima y finalmente la víctima terminó dimitiendo de su puesto de trabajo.","En la entrevista con la víctima se le comentaron las posibles opciones y que se le prestaría apoyo en todo momento. Después de pasar unos días para que la víctima decidiera qué quería hacer, comentó que no quería realizar ninguna acción por miedo a represalias laborales y personales.",Negativos. La víctima tuvo miedo a represalias.,2018-01-01T00:00:00+01:00,2018-01-01T00:00:00+01:00,Jaén,Empleo,Discriminación directa,,https://informesdiscriminacion.gitanos.org/casos/ja%C3%A9n-empleo-discriminaci%C3%B3n-directa-4
"En el marco de un programa de empleo, las técnicas del mismo se estaban preparando con los y las participantes para desarrollar las prácticas de limpieza de grandes superficies y mobiliario de edificios y locales. El día de antes de que se iniciaran, una de las técnicas comentó con la limpiadora del local con quien se realizan las prácticas, que el próximo lunes, tendría con ella a una de las participantes del programa, desarrollando prácticas. A lo que la limpiadora comenta: “Ah, ¿sí?, pero la que empieza, ¿es gitana o es normal?”","Desde la FSG se comentó con la limpiadora que el comentario que había realizado no era adecuado, ya que se producen generalizaciones que afectan a toda la comunidad gitana. Tras esto, se retractó de sus palabras y pidió disculpas.",Ha sido efectiva.,2018-01-01T00:00:00+01:00,2018-01-01T00:00:00+01:00,Murcia,Empleo,Discriminación directa,,https://informesdiscriminacion.gitanos.org/casos/murcia-empleo-discriminaci%C3%B3n-directa-3
"Una joven, de etnia gitana, decidió presentarse a una entrevista en un restaurante, que una amiga suya, que trabajaba en el restaurante de al lado, le había facilitado. La amiga le presentó a la jefa de cocina, que les atendió de manera muy amable y le dijo que le haría una prueba de dos días para ver qué tal funcionaba. La joven le entregó el curriculum y la jefa de cocina le preguntó: “¿Eres Bustamante?”, la joven respondió, “sí, ¿por qué?”, a lo que la mujer respondió “te conozco de algo, aquí trabajó un chico que tiene los mismos apellidos” y la joven preguntó “quién”, la mujer dijo “no nada, no te preocupes”. El día siguiente la joven recibió un mensaje de la jefa de cocina que decía que no necesitaba gente, que la jefa ya había conseguido a otra chica. La amiga de la joven le preguntó a la jefa de cocina por qué no había hecho la prueba a la joven y ésta respondió: “mi jefa no quiere gitanos, una vez trabajó aquí un gitano con apellido Bustamante y robaba comida” y añadió: “por mí encantada porque la chica no parece gitana, tiene habilidades, se nota que se desenvuelve, pero la jefa no quiere gitanas ni moras porque tuvo mala experiencia, lo siento”.","La joven contó el caso a la técnica de igualdad, que llamó a la amiga para corroborar los hechos. Informamos a la joven de sus derechos y de las posibilidades de actuación.","Aunque la joven supo que era una discriminación en el acceso al empleo por una motivación de su pertenencia a la etnia gitana, no quiso llevar a cabo ninguna actuación por no perjudicar a su amiga.",2018-01-01T00:00:00+01:00,2018-01-01T00:00:00+01:00,Cuenca,Empleo,Discriminación directa,,https://informesdiscriminacion.gitanos.org/casos/cuenca-empleo-discriminaci%C3%B3n-directa-0
"Una joven participante del Programa de Empleo Aprender Trabajando de la FSG de Murcia, finalizó su formación teórica y fue a una tienda de ropa a hacer las prácticas. El encargado le dijo: “Venga atiende a los clientes y saca la gitana que llevas dentro, la gitana de los mercadillos”. Además de este incidente, la joven contó otro comentario de una de las empleadas de la tienda, que le dijo: “Qué curioso, eres gitana y sabes hablar bastante bien”, a lo que la joven respondió: “las personas gitanas no somos analfabetas, claro que sabemos hablar”. La joven llegó a sentirse incómoda en algunas ocasiones.",La técnica de igualdad de la FSG entrevistó a la joven y le informó y asesoró en materia de igualdad de trato y no discriminación.,La joven no quiso llevar a cabo ninguna actuación puesto que su periodo de prácticas estaba próximo a finalizar y no quería perder oportunidades de ser contratada.,2018-01-01T00:00:00+01:00,2018-01-01T00:00:00+01:00,Murcia,Empleo,Discriminación directa,,https://informesdiscriminacion.gitanos.org/casos/murcia-empleo-discriminaci%C3%B3n-directa-2
